,SOURCE_KEY,DAY,ERROR,norm_error,alarm_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_inefficient_inverter_day,alarm_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,0.0005217301021966393,0.8314639884073748,0,0,0,0,
1,1IF53ai7Xc0U56Y,136,0.0004618623588664617,0.7360547481954746,0,0,0,0,
2,3PZuoBAID5Wc2HD,136,0.000535078311635557,0.8527365878058978,0,0,0,0,
3,7JYdWkrLSPkdwr4,136,0.00044305667780930526,0.7060847569860982,0,0,0,0,
4,McdE0feGgRqW7Ca,136,0.0004575366152074963,0.7291609537596769,0,0,0,0,
5,VHMLBKoKgIrUVDU,136,0.00043874918313055407,0.69922004534581,0,0,0,0,
6,WRmjgnKYAwPKWDb,136,0.0005596292339345515,0.8918625797466652,0,0,0,1,
7,YxYtjZvoooNbGkE,136,0.0004810806008940682,0.7666822241627888,0,0,0,0,
8,ZnxXDlPa8U1GXgE,136,0.0004554863325268406,0.7258934861402256,0,0,0,0,
9,ZoEaEvLYb1n2sOq,136,0.0004044837733852633,0.6446123964268017,0,0,0,0,
10,adLQvlD726eNBSB,136,0.00048708681336299834,0.7762541260975491,0,0,0,0,
11,bvBOhCH3iADSZry,136,0.0005082534956348431,0.8099867667655904,0,0,0,0,
12,iCRJl6heRkivqQ3,136,0.00042542356198440185,0.6779834441615268,0,0,0,0,
13,ih0vzX44oOqAx2f,136,0.00046477091096978104,0.7406900113749126,0,0,0,0,
14,pkci93gMrogZuBj,136,0.0004621119929979717,0.7364525818450072,0,0,0,0,
15,rGa61gmuvPhdLxV,136,0.0004474280724442668,0.7130513038707512,0,0,0,0,
16,sjndEbLyjtCKgGv,136,0.00043934982402174804,0.700177266845758,0,0,0,0,
17,uHbuxQJl8lW7ozc,136,0.00046716241332179137,0.7445012694861778,0,0,0,0,
18,wCURE6d3bPkepu2,136,0.0004573559596299326,0.7288730489475591,0,0,0,0,
19,z9Y9gH1T5YWrNuG,136,0.0005114073491031722,0.8150129586080558,0,0,0,0,
20,zBIq5rxdHJRwDNY,136,0.00041103661129354545,0.6550554372244626,0,0,0,0,
