,SOURCE_KEY,DAY,ERROR,norm_error,alarm_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_inefficient_inverter_day,alarm_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,0.0011215427776961255,0.5286206296722198,0,0,0,0,
1,1IF53ai7Xc0U56Y,136,0.0009939452775089225,0.46847965936334074,0,0,0,0,
2,3PZuoBAID5Wc2HD,136,0.001168857650413531,0.5509217119903769,0,0,0,0,
3,7JYdWkrLSPkdwr4,136,0.0010115112864949234,0.47675910702746144,0,0,0,0,
4,McdE0feGgRqW7Ca,136,0.0009481308865909348,0.4468858043122963,0,0,0,0,
5,VHMLBKoKgIrUVDU,136,0.0010873929837096948,0.5125246893663434,0,0,0,0,
6,WRmjgnKYAwPKWDb,136,0.0012205586877603494,0.5752901404270736,0,0,0,0,
7,YxYtjZvoooNbGkE,136,0.0010696579523578563,0.5041655758069625,0,0,0,0,
8,ZnxXDlPa8U1GXgE,136,0.0011670612236981451,0.5500749959842357,0,0,0,0,
9,ZoEaEvLYb1n2sOq,136,0.0009341713862850338,0.44030622483627,0,0,0,0,
10,adLQvlD726eNBSB,136,0.0010892724082762495,0.513410525036236,0,0,0,0,
11,bvBOhCH3iADSZry,136,0.0011490018429791268,0.5415630057177669,0,0,0,0,
12,iCRJl6heRkivqQ3,136,0.0008974373400783588,0.4229922400089858,0,0,0,0,
13,ih0vzX44oOqAx2f,136,0.0011304361000646144,0.5328123500094198,0,0,0,0,
14,pkci93gMrogZuBj,136,0.0008982922256023298,0.4233951761545936,0,0,0,0,
15,rGa61gmuvPhdLxV,136,0.0009040842174644539,0.4261251356765139,0,0,0,0,
16,sjndEbLyjtCKgGv,136,0.0008894344504406516,0.4192202104051107,0,0,0,0,
17,uHbuxQJl8lW7ozc,136,0.0009846746210314054,0.4641100888377413,0,0,0,0,
18,wCURE6d3bPkepu2,136,0.000993328352361974,0.4681888819038216,0,0,0,0,
19,z9Y9gH1T5YWrNuG,136,0.001101783642693579,0.5193074883506905,0,0,0,0,
20,zBIq5rxdHJRwDNY,136,0.0008919097450337833,0.4203868995519424,0,0,0,0,
21,zVJPv84UY57bAof,136,0.001021625279297104,0.48152617017468424,0,0,0,0,
22,1BY6WEcLGh8j5v7,137,0.00034022748812748447,0.1603605966552602,0,0,0,0,
23,1IF53ai7Xc0U56Y,137,0.00035535882880697434,0.1674925037004893,0,0,0,0,
24,3PZuoBAID5Wc2HD,137,0.0003744587138666508,0.1764949184703063,0,0,0,0,
25,7JYdWkrLSPkdwr4,137,0.0003352952940078636,0.15803588857186865,0,0,0,0,
26,McdE0feGgRqW7Ca,137,0.00039457749089985073,0.18597757111185065,0,0,0,0,
27,VHMLBKoKgIrUVDU,137,0.0004070338603819546,0.1918486747469575,0,0,0,0,
28,WRmjgnKYAwPKWDb,137,0.0003827467138221175,0.18040133010462847,0,0,0,0,
29,YxYtjZvoooNbGkE,137,0.00035878843696108496,0.16910899275289898,0,0,0,0,
30,ZnxXDlPa8U1GXgE,137,0.0004352654214492349,0.20515515389764302,0,0,0,1,
31,ZoEaEvLYb1n2sOq,137,0.0003267037591445087,0.15398641078142092,0,0,0,0,
32,adLQvlD726eNBSB,137,0.0003861876516457412,0.18202315920928677,0,0,0,0,
33,bvBOhCH3iADSZry,137,0.0003395970259824101,0.16006343875567625,0,0,0,0,
34,iCRJl6heRkivqQ3,137,0.0003476004376028352,0.16383571438746797,0,0,0,0,
35,ih0vzX44oOqAx2f,137,0.0003754667899699339,0.17697005846057015,0,0,0,0,
36,pkci93gMrogZuBj,137,0.00040646406617859813,0.19158011167780678,0,0,0,0,
37,rGa61gmuvPhdLxV,137,0.00037649523678008606,0.1774547998464349,0,0,0,0,
38,sjndEbLyjtCKgGv,137,0.00036691434704602465,0.17293900600891096,0,0,0,0,
39,uHbuxQJl8lW7ozc,137,0.00039135200405457544,0.18445729126068758,0,0,0,0,
40,wCURE6d3bPkepu2,137,0.0003983819949596567,0.18777076114586472,0,0,0,0,
41,z9Y9gH1T5YWrNuG,137,0.0003936369986267229,0.18553428564159513,0,0,0,0,
42,zBIq5rxdHJRwDNY,137,0.0003314051504986247,0.15620233380047288,0,0,0,0,
43,zVJPv84UY57bAof,137,0.00035481847552229083,0.16723781712118502,0,0,0,0,
44,1BY6WEcLGh8j5v7,138,0.000990408033899177,0.4668124381200024,0,0,0,1,
45,1IF53ai7Xc0U56Y,138,0.0008437394532008667,0.3976826295886346,0,0,0,0,
46,3PZuoBAID5Wc2HD,138,0.0009596091937402845,0.45229591445122885,0,0,0,0,
47,7JYdWkrLSPkdwr4,138,0.0007384217031761747,0.3480428508473564,0,0,0,0,
48,McdE0feGgRqW7Ca,138,0.000839899168183352,0.3958725747922856,0,0,0,0,
49,VHMLBKoKgIrUVDU,138,0.0008228165969399693,0.3878209875085198,0,0,0,0,
50,WRmjgnKYAwPKWDb,138,0.0008907924953301861,0.4198603023917076,0,0,0,0,
51,YxYtjZvoooNbGkE,138,0.0007423987599937072,0.3499173707684288,0,0,0,0,
52,ZnxXDlPa8U1GXgE,138,0.0008335850977874692,0.3928965421925102,0,0,0,0,
53,ZoEaEvLYb1n2sOq,138,0.000787833040680504,0.37133206715183,0,0,0,0,
54,adLQvlD726eNBSB,138,0.0009429795754504847,0.4444578190469496,0,0,0,0,
55,bvBOhCH3iADSZry,138,0.0009463902876856566,0.44606540182064547,0,0,0,0,
56,iCRJl6heRkivqQ3,138,0.0007733703012648358,0.3645152942487038,0,0,0,0,
57,ih0vzX44oOqAx2f,138,0.0008017638333747103,0.3778981157701197,0,0,0,0,
58,pkci93gMrogZuBj,138,0.0008327895224684784,0.39252156093059126,0,0,0,0,
59,rGa61gmuvPhdLxV,138,0.0008473439080201478,0.39938152972341806,0,0,0,0,
60,sjndEbLyjtCKgGv,138,0.000790526940518717,0.3726017922635866,0,0,0,0,
