,SOURCE_KEY,DAY,ERROR,norm_error,alarm_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_inefficient_inverter_day,alarm_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,333137.7322671843,0.13796470006957046,0,0,0,0,
1,1IF53ai7Xc0U56Y,136,110236.65532413565,0.045653090645010455,0,0,0,0,
2,3PZuoBAID5Wc2HD,136,255152.69039075766,0.105668199642639,0,0,0,0,
3,7JYdWkrLSPkdwr4,136,104668.35006383645,0.043347048756855765,0,0,0,0,
4,McdE0feGgRqW7Ca,136,173487.40799414623,0.07184757501609886,0,0,0,0,
5,VHMLBKoKgIrUVDU,136,142465.15462565716,0.059000108437220984,0,0,0,0,
6,WRmjgnKYAwPKWDb,136,299721.61406311166,0.12412584520873267,0,0,0,0,
7,YxYtjZvoooNbGkE,136,82927.58307419028,0.03434339019018426,0,0,0,0,
8,ZnxXDlPa8U1GXgE,136,156230.0554225363,0.06470066477169745,0,0,0,0,
9,ZoEaEvLYb1n2sOq,136,76647.65101982611,0.03174263723301773,0,0,0,0,
10,adLQvlD726eNBSB,136,193239.64632645383,0.08002771005716316,0,0,0,0,
11,bvBOhCH3iADSZry,136,264883.90576750506,0.10969825712555593,0,0,0,0,
12,iCRJl6heRkivqQ3,136,161211.5747283943,0.06676369681627013,0,0,0,0,
13,ih0vzX44oOqAx2f,136,203025.10672477534,0.0840802324169369,0,0,0,0,
14,pkci93gMrogZuBj,136,198896.02648428638,0.08237022702947944,0,0,0,0,
15,rGa61gmuvPhdLxV,136,176616.9432916644,0.07314363174236889,0,0,0,0,
16,sjndEbLyjtCKgGv,136,129792.48750087176,0.05375188660700729,0,0,0,0,
17,uHbuxQJl8lW7ozc,136,270174.99226414727,0.11188949243409772,0,0,0,0,
18,wCURE6d3bPkepu2,136,133630.44487960942,0.0553413272117499,0,0,0,0,
19,z9Y9gH1T5YWrNuG,136,386739.60775719583,0.16016322626117818,0,0,0,1,
20,zBIq5rxdHJRwDNY,136,111978.94548188112,0.04637463766825409,0,0,0,0,
21,zVJPv84UY57bAof,136,222792.08873379408,0.0922664733617712,0,0,0,0,
22,1BY6WEcLGh8j5v7,137,63359.59085883165,0.02623955830484734,0,0,0,0,
23,1IF53ai7Xc0U56Y,137,45588.4547261668,0.018879871217609142,0,0,0,0,
24,3PZuoBAID5Wc2HD,137,69437.98495092169,0.028756846911312584,0,0,0,0,
25,7JYdWkrLSPkdwr4,137,32639.600741005863,0.013517270157232747,0,0,0,0,
26,McdE0feGgRqW7Ca,137,34933.18442053618,0.014467128290315896,0,0,0,0,
27,VHMLBKoKgIrUVDU,137,80485.8456431124,0.03333217608953378,0,0,0,0,
28,WRmjgnKYAwPKWDb,137,93133.09123276778,0.03856986991847409,0,0,0,0,
29,YxYtjZvoooNbGkE,137,19194.758725794647,0.007949262043928757,0,0,0,0,
30,ZnxXDlPa8U1GXgE,137,87372.61828736159,0.03618424425919141,0,0,0,0,
31,ZoEaEvLYb1n2sOq,137,15979.47537939641,0.0066176938678905554,0,0,0,0,
32,adLQvlD726eNBSB,137,67312.96598413825,0.027876797682427006,0,0,0,0,
33,bvBOhCH3iADSZry,137,86786.06723782893,0.035941331698451026,0,0,0,0,
34,iCRJl6heRkivqQ3,137,16175.429498381436,0.0066988457418292405,0,0,0,0,
35,ih0vzX44oOqAx2f,137,44497.537816070006,0.018428082033363824,0,0,0,0,
36,pkci93gMrogZuBj,137,162567.6435897683,0.06732529526523566,0,0,0,1,
37,rGa61gmuvPhdLxV,137,111948.5259801611,0.046362039823505286,0,0,0,0,
38,sjndEbLyjtCKgGv,137,25588.961857890616,0.010597338895805757,0,0,0,0,
39,uHbuxQJl8lW7ozc,137,124968.74368832906,0.05175419525040002,0,0,0,0,
40,wCURE6d3bPkepu2,137,45926.403110784006,0.019019828187374774,0,0,0,0,
41,z9Y9gH1T5YWrNuG,137,60597.3430237649,0.025095608949458323,0,0,0,0,
42,zBIq5rxdHJRwDNY,137,35383.553012111035,0.014653642640505284,0,0,0,0,
43,zVJPv84UY57bAof,137,32149.380914457466,0.01331425193147481,0,0,0,0,
44,1BY6WEcLGh8j5v7,138,297306.37288015016,0.12312560418789355,0,0,0,0,
45,1IF53ai7Xc0U56Y,138,158534.4571959925,0.06565500307901259,0,0,0,0,
46,3PZuoBAID5Wc2HD,138,236826.76596456804,0.09807875413086765,0,0,0,0,
47,7JYdWkrLSPkdwr4,138,67248.54554412994,0.027850118787113617,0,0,0,0,
48,McdE0feGgRqW7Ca,138,179937.54311165228,0.07451881537917251,0,0,0,0,
49,VHMLBKoKgIrUVDU,138,98987.02886949922,0.04099420277558161,0,0,0,0,
50,WRmjgnKYAwPKWDb,138,248763.31399358952,0.10302212172085046,0,0,0,0,
51,YxYtjZvoooNbGkE,138,39040.935191662305,0.016168300352820172,0,0,0,0,
52,ZnxXDlPa8U1GXgE,138,101413.4256337419,0.04199906373669314,0,0,0,0,
53,ZoEaEvLYb1n2sOq,138,77192.51625337418,0.031968286150098384,0,0,0,0,
54,adLQvlD726eNBSB,138,272171.1175954612,0.11271616202436535,0,0,0,0,
55,bvBOhCH3iADSZry,138,268049.5063861208,0.11100924983993599,0,0,0,0,
56,iCRJl6heRkivqQ3,138,112828.06432838303,0.04672628929949921,0,0,0,0,
57,ih0vzX44oOqAx2f,138,115065.64586536988,0.047652954866712734,0,0,0,0,
58,pkci93gMrogZuBj,138,204621.48651216345,0.08474135254003208,0,0,0,0,
59,rGa61gmuvPhdLxV,138,161552.93318882046,0.06690506602500068,0,0,0,0,
60,sjndEbLyjtCKgGv,138,131985.82015120427,0.054660227067862756,0,0,0,0,
61,uHbuxQJl8lW7ozc,138,211043.6103429343,0.08740099238956832,0,0,0,0,
62,wCURE6d3bPkepu2,138,197752.22357940496,0.08189653579181409,0,0,0,0,
63,z9Y9gH1T5YWrNuG,138,264859.36921571934,0.10968809562873352,0,0,0,0,
64,zBIq5rxdHJRwDNY,138,79198.68164566,0.032799113702273355,0,0,0,0,
65,zVJPv84UY57bAof,138,166189.3221600739,0.06882516678774414,0,0,0,0,
66,1BY6WEcLGh8j5v7,139,73352.10687296292,0.03037783008045131,0,0,0,1,
67,1IF53ai7Xc0U56Y,139,7942.84255055626,0.0032894259162106363,0,0,0,0,
68,3PZuoBAID5Wc2HD,139,13520.296605949037,0.005599256659991179,0,0,0,0,
69,7JYdWkrLSPkdwr4,139,18211.99733502736,0.007542264074667146,0,0,0,0,
70,McdE0feGgRqW7Ca,139,9962.175874413859,0.004125706797606147,0,0,0,0,
71,VHMLBKoKgIrUVDU,139,14115.380061165597,0.0058457028066242174,0,0,0,0,
72,WRmjgnKYAwPKWDb,139,15677.206354013375,0.0064925130451014825,0,0,0,0,
73,YxYtjZvoooNbGkE,139,10991.059945371686,0.004551805880679115,0,0,0,0,
74,ZnxXDlPa8U1GXgE,139,8370.444639134059,0.003466511812480241,0,0,0,0,
75,ZoEaEvLYb1n2sOq,139,3188.1405231577664,0.0013203273254688962,0,0,0,0,
76,adLQvlD726eNBSB,139,13764.893955754176,0.005700553501312693,0,0,0,0,
77,bvBOhCH3iADSZry,139,82726.63287429685,0.0342601692537009,0,0,0,1,
78,iCRJl6heRkivqQ3,139,8765.424518516227,0.003630087641077078,0,0,0,0,
79,ih0vzX44oOqAx2f,139,3689.473369404175,0.0015279478651678844,0,0,0,0,
80,pkci93gMrogZuBj,139,20822.815479235673,0.008623500774426519,0,0,0,0,
81,rGa61gmuvPhdLxV,139,6758.865973127923,0.0027990972696096293,0,0,0,0,
82,sjndEbLyjtCKgGv,139,9204.847284885936,0.0038120689187706998,0,0,0,0,
83,uHbuxQJl8lW7ozc,139,18489.546428779842,0.0076572074562335155,0,0,0,0,
84,wCURE6d3bPkepu2,139,3708.5476572506486,0.0015358472357491454,0,0,0,0,
85,z9Y9gH1T5YWrNuG,139,3677.7311458139397,0.0015230849745407808,0,0,0,0,
86,zBIq5rxdHJRwDNY,139,7884.004799906644,0.0032650590197744436,0,0,0,0,
87,zVJPv84UY57bAof,139,7937.324478029887,0.0032871406775620985,0,0,0,0,
88,1BY6WEcLGh8j5v7,140,121930.60236031323,0.05049598815918858,0,0,0,0,
89,1IF53ai7Xc0U56Y,140,55390.620341796945,0.022939311827921187,0,0,0,0,
90,3PZuoBAID5Wc2HD,140,34977.70293366525,0.014485565059004918,0,0,0,0,
91,7JYdWkrLSPkdwr4,140,44591.19362119522,0.018466868378506834,0,0,0,0,
92,McdE0feGgRqW7Ca,140,53618.72605004424,0.022205504633962793,0,0,0,0,
93,VHMLBKoKgIrUVDU,140,54972.86676981736,0.022766304567924202,0,0,0,0,
94,WRmjgnKYAwPKWDb,140,129015.0872506081,0.05342993630845746,0,0,0,0,
95,YxYtjZvoooNbGkE,140,20550.515731889034,0.008510731342047816,0,0,0,0,
96,ZnxXDlPa8U1GXgE,140,30801.11165363566,0.012755883586597218,0,0,0,0,
97,ZoEaEvLYb1n2sOq,140,45030.45011495843,0.018648780796542534,0,0,0,0,
98,adLQvlD726eNBSB,140,58580.790789238,0.02426047982038089,0,0,0,0,
99,bvBOhCH3iADSZry,140,165564.41581493767,0.06856636987545339,0,0,0,1,
100,iCRJl6heRkivqQ3,140,30659.31362578772,0.012697159760120523,0,0,0,0,
101,ih0vzX44oOqAx2f,140,19889.050518329896,0.008236794045380535,0,0,0,0,
102,pkci93gMrogZuBj,140,98372.87302676427,0.0407398580453637,0,0,0,0,
103,rGa61gmuvPhdLxV,140,51586.6611221578,0.021363951122777527,0,0,0,0,
104,sjndEbLyjtCKgGv,140,20421.170536764388,0.008457164695816042,0,0,0,0,
105,uHbuxQJl8lW7ozc,140,83403.6691116536,0.03454055508927548,0,0,0,0,
106,wCURE6d3bPkepu2,140,46283.512632401864,0.019167720495180004,0,0,0,0,
107,z9Y9gH1T5YWrNuG,140,75952.87984352249,0.031454906700954084,0,0,0,0,
108,zBIq5rxdHJRwDNY,140,33589.836224628285,0.013910797941075276,0,0,0,0,
109,zVJPv84UY57bAof,140,38993.375728130864,0.016148604213697983,0,0,0,0,
110,1BY6WEcLGh8j5v7,141,112967.64156636699,0.04678409341446374,0,0,0,0,
111,1IF53ai7Xc0U56Y,141,26318.313996980123,0.010899390688107326,0,0,0,0,
112,3PZuoBAID5Wc2HD,141,26077.583001984935,0.010799695047820855,0,0,0,0,
113,7JYdWkrLSPkdwr4,141,9575.200001369341,0.003965445725119984,0,0,0,0,
114,McdE0feGgRqW7Ca,141,17069.430401162383,0.007069084698475486,0,0,0,0,
115,VHMLBKoKgIrUVDU,141,19887.841883746216,0.00823629350493831,0,0,0,0,
116,WRmjgnKYAwPKWDb,141,16968.151745225197,0.00702714144787241,0,0,0,0,
117,YxYtjZvoooNbGkE,141,3063.1177613928435,0.0012685507593279792,0,0,0,0,
118,ZnxXDlPa8U1GXgE,141,18988.672324719013,0.007863914015894475,0,0,0,0,
119,ZoEaEvLYb1n2sOq,141,13920.756946416133,0.005765102150942621,0,0,0,0,
120,adLQvlD726eNBSB,141,54618.35147953307,0.02261948662760479,0,0,0,0,
121,bvBOhCH3iADSZry,141,193103.23135431026,0.07997121555385757,0,0,0,1,
122,iCRJl6heRkivqQ3,141,6736.971840664423,0.0027900300967077392,0,0,0,0,
123,ih0vzX44oOqAx2f,141,10888.943329493608,0.004509515599761794,0,0,0,0,
124,pkci93gMrogZuBj,141,10218.927415034683,0.00423203714047389,0,0,0,0,
125,rGa61gmuvPhdLxV,141,9020.345271346265,0.003735659786766951,0,0,0,0,
126,sjndEbLyjtCKgGv,141,6463.647303565548,0.002676836260855315,0,0,0,0,
127,uHbuxQJl8lW7ozc,141,20277.679017383605,0.008397739531637943,0,0,0,0,
128,wCURE6d3bPkepu2,141,14199.862929369288,0.0058806902981143475,0,0,0,0,
129,z9Y9gH1T5YWrNuG,141,2304.700151478006,0.0009544618767289303,0,0,0,0,
130,zBIq5rxdHJRwDNY,141,6319.526773795803,0.002617150600128047,0,0,0,0,
131,zVJPv84UY57bAof,141,2207.9268571968105,0.0009143844636139808,0,0,0,0,
132,1BY6WEcLGh8j5v7,142,483146.7567273946,0.2000890050125576,0,1,0,0,0.0
133,1IF53ai7Xc0U56Y,142,202556.3779694118,0.08388611444144488,0,1,0,0,0.0
