,SOURCE_KEY,DAY,ERROR,norm_error,alarm_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_inefficient_inverter_day,alarm_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,270139.16719077923,0.07544644338618414,0,0,0,1,
1,1IF53ai7Xc0U56Y,136,41948.85085240119,0.011715782031400286,0,0,0,0,
2,3PZuoBAID5Wc2HD,136,141927.17631409183,0.03963846036876211,0,0,0,0,
3,7JYdWkrLSPkdwr4,136,81433.81037599118,0.022743430462693694,0,0,0,0,
4,McdE0feGgRqW7Ca,136,39618.39990938631,0.011064916638703343,0,0,0,0,
5,VHMLBKoKgIrUVDU,136,90035.81177058813,0.025145860358270454,0,0,0,0,
6,WRmjgnKYAwPKWDb,136,186037.32447233837,0.051957865327270245,0,0,0,0,
7,YxYtjZvoooNbGkE,136,23352.68096593192,0.006522107625983462,0,0,0,0,
8,ZnxXDlPa8U1GXgE,136,77108.83666141241,0.02153552015521408,0,0,0,0,
9,ZoEaEvLYb1n2sOq,136,38120.31392726288,0.010646520223206548,0,0,0,0,
10,adLQvlD726eNBSB,136,73396.94639806842,0.02049883628030107,0,0,0,0,
11,bvBOhCH3iADSZry,136,255237.57360880074,0.07128461728655501,0,0,0,0,
12,iCRJl6heRkivqQ3,136,36479.22364113494,0.010188184519237609,0,0,0,0,
13,ih0vzX44oOqAx2f,136,115631.20990754168,0.03229433044710703,0,0,0,0,
14,pkci93gMrogZuBj,136,73201.32106250786,0.020444200605075753,0,0,0,0,
15,rGa61gmuvPhdLxV,136,49312.306097296554,0.013772301695090363,0,0,0,0,
16,sjndEbLyjtCKgGv,136,36195.34228777263,0.010108900057537479,0,0,0,0,
17,uHbuxQJl8lW7ozc,136,117674.15481221693,0.032864899049559346,0,0,0,0,
18,wCURE6d3bPkepu2,136,38327.58459533777,0.010704408292112473,0,0,0,0,
19,z9Y9gH1T5YWrNuG,136,74918.76229436492,0.02092386015987438,0,0,0,0,
20,zBIq5rxdHJRwDNY,136,21240.27859859338,0.0059321404350959036,0,0,0,0,
21,zVJPv84UY57bAof,136,269539.4896138771,0.07527896104430012,0,0,0,1,
22,1BY6WEcLGh8j5v7,137,48560.44256890779,0.013562315747037675,0,0,0,0,
23,1IF53ai7Xc0U56Y,137,8511.478476655882,0.002377147992642742,0,0,0,0,
24,3PZuoBAID5Wc2HD,137,3572.656663470347,0.0009977976962830793,0,0,0,0,
25,7JYdWkrLSPkdwr4,137,16100.531204912455,0.0044966741723203975,0,0,0,0,
26,McdE0feGgRqW7Ca,137,11333.245977671228,0.003165231868921144,0,0,0,0,
27,VHMLBKoKgIrUVDU,137,2177.096444774368,0.0006080354262398818,0,0,0,0,
28,WRmjgnKYAwPKWDb,137,9312.357683032842,0.0026008233979216023,0,0,0,0,
29,YxYtjZvoooNbGkE,137,4805.828664104807,0.0013422069964923638,0,0,0,0,
30,ZnxXDlPa8U1GXgE,137,3749.881219174121,0.0010472942670602574,0,0,0,0,
31,ZoEaEvLYb1n2sOq,137,13588.423723131402,0.003795074412185085,0,0,0,0,
32,adLQvlD726eNBSB,137,1703.3722085548086,0.0004757302550191486,0,0,0,0,
33,bvBOhCH3iADSZry,137,83330.16378794628,0.023273057920359712,0,0,0,0,
34,iCRJl6heRkivqQ3,137,12132.924193634059,0.0033885718528087667,0,0,0,0,
35,ih0vzX44oOqAx2f,137,10167.228750996233,0.002839578045395722,0,0,0,0,
36,pkci93gMrogZuBj,137,156688.54352227756,0.043761123020596454,0,0,0,1,
37,rGa61gmuvPhdLxV,137,107932.62613935689,0.03014421363709276,0,0,0,0,
