,SOURCE_KEY,DAY,DC_efficiency_unnorm,DC_efficiency,AC_efficiency_unnorm,AC_efficiency,alarm_negative_trend,alarm_negative_trend_temp,alarm_AC_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_AC_conversion_fall,alarm_AC_conversion_jump,alarm_inefficient_inverter_day,alarm_AC_inefficient_inverter_day,alarm_inefficient_inverter_window,alarm_AC_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,12654.292747944379,0.7726148507635018,0.09789364159207316,0.9993639231665816,0,0,0,0,0,0,0,1,0,,
1,1IF53ai7Xc0U56Y,136,13565.308175037648,0.8282374021195428,0.09784764770232214,0.9988943867048081,0,0,0,0,0,0,0,0,0,,
2,3PZuoBAID5Wc2HD,136,13360.674323864816,0.8157433690246675,0.09784574830167725,0.9988749963496301,0,0,0,0,0,0,0,0,0,,
3,7JYdWkrLSPkdwr4,136,13241.189744546895,0.8084481718724401,0.0978614940603299,0.9990357396102181,0,0,0,0,0,0,0,0,0,,
4,McdE0feGgRqW7Ca,136,13695.649535171331,0.8361954660361814,0.0978271955848459,0.9986855977781147,0,0,0,0,0,0,0,0,0,,
5,VHMLBKoKgIrUVDU,136,13692.529146254843,0.8360049489630381,0.09785801056350012,0.9990001777391759,0,0,0,0,0,0,0,0,0,,
6,WRmjgnKYAwPKWDb,136,13346.230042397503,0.8148614654214759,0.09785246330729927,0.9989435476288896,0,0,0,0,0,0,0,0,0,,
7,ZnxXDlPa8U1GXgE,136,13838.173872748663,0.8448973683866992,0.09784759291532155,0.9988938274023759,0,0,0,0,0,0,0,0,0,,
8,ZoEaEvLYb1n2sOq,136,13647.239710504513,0.8332397773852676,0.09785328904510339,0.9989519773139847,0,0,0,0,0,0,0,0,0,,
9,adLQvlD726eNBSB,136,13618.313197060299,0.831473653089507,0.0978341446265813,0.9987565382549219,0,0,0,0,0,0,0,0,0,,
10,bvBOhCH3iADSZry,136,12568.02102247551,0.7673474827939195,0.097907128867627,0.9995016103175661,0,0,0,0,0,0,0,1,0,,
11,iCRJl6heRkivqQ3,136,13887.251586093624,0.8478938353506857,0.09782217693077551,0.9986343639927612,0,0,0,0,0,0,0,0,0,,
12,ih0vzX44oOqAx2f,136,13574.083583286918,0.8287731895293923,0.09785681847916416,0.9989880081430781,0,0,0,0,0,0,0,0,0,,
13,pkci93gMrogZuBj,136,13550.310462045574,0.8273217084481563,0.09784681089889334,0.9988858440543977,0,0,0,0,0,0,0,0,0,,
14,rGa61gmuvPhdLxV,136,13899.905696901194,0.848666439092979,0.09783150494417714,0.998729590607246,0,0,0,0,0,0,0,0,0,,
15,sjndEbLyjtCKgGv,136,13640.06437925379,0.832801683562572,0.09784946007048181,0.9989128885740288,0,0,0,0,0,0,0,0,0,,
16,uHbuxQJl8lW7ozc,136,13305.088748100956,0.8123495609171085,0.09785318793293905,0.9989509450932236,0,0,0,0,0,0,0,0,0,,
17,wCURE6d3bPkepu2,136,13637.387165323391,0.8326382247836027,0.09784453500629604,0.998862610216962,0,0,0,0,0,0,0,0,0,,
18,z9Y9gH1T5YWrNuG,136,13575.180176887263,0.8288401426588761,0.09782530337285848,0.9986662808095715,0,0,0,0,0,0,0,0,0,,
