,SOURCE_KEY,DAY,ERROR,norm_error,alarm_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_inefficient_inverter_day,alarm_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,377731.62327675713,0.13889306382952724,0,0,0,1,
1,1IF53ai7Xc0U56Y,136,115977.44318655755,0.04264525770852266,0,0,0,0,
2,3PZuoBAID5Wc2HD,136,272925.01183223515,0.10035535484227927,0,0,0,0,
3,7JYdWkrLSPkdwr4,136,159592.69370259353,0.05868271764188421,0,0,0,0,
4,McdE0feGgRqW7Ca,136,71357.49787182716,0.026238368449668797,0,0,0,0,
5,VHMLBKoKgIrUVDU,136,187361.42246943506,0.06889336345337317,0,0,0,0,
6,WRmjgnKYAwPKWDb,136,300409.54423601844,0.11046150078888547,0,0,0,0,
7,YxYtjZvoooNbGkE,136,35462.66643968745,0.013039730035427572,0,0,0,0,
8,ZnxXDlPa8U1GXgE,136,140277.93009185142,0.05158062046567432,0,0,0,0,
9,ZoEaEvLYb1n2sOq,136,65559.09012014231,0.024106276328341912,0,0,0,0,
10,adLQvlD726eNBSB,136,158366.08033864567,0.05823168818669841,0,0,0,0,
11,bvBOhCH3iADSZry,136,267364.57642284984,0.09831076587316914,0,0,0,0,
12,iCRJl6heRkivqQ3,136,21794.547271158164,0.008013921151236813,0,0,0,0,
13,ih0vzX44oOqAx2f,136,178420.13793002215,0.06560562600243505,0,0,0,0,
14,pkci93gMrogZuBj,136,70089.67951832942,0.025772187794819074,0,0,0,0,
15,rGa61gmuvPhdLxV,136,30816.388538161424,0.01133127955530044,0,0,0,0,
16,sjndEbLyjtCKgGv,136,51658.324929821865,0.018994922796144145,0,0,0,0,
17,uHbuxQJl8lW7ozc,136,148042.13792690192,0.05443554324143902,0,0,0,0,
18,wCURE6d3bPkepu2,136,72319.63909544874,0.026592150696509116,0,0,0,0,
19,z9Y9gH1T5YWrNuG,136,121040.07164013045,0.04450680154974902,0,0,0,0,
20,zBIq5rxdHJRwDNY,136,18291.485639072227,0.00672583476163741,0,0,0,0,
21,zVJPv84UY57bAof,136,141847.19433719353,0.05215764368947256,0,0,0,0,
22,1BY6WEcLGh8j5v7,137,16943.313087428323,0.006230107624353229,0,0,0,0,
23,1IF53ai7Xc0U56Y,137,4173.569584990932,0.0015346341980491214,0,0,0,0,
24,3PZuoBAID5Wc2HD,137,3087.1577841995513,0.001135157282975186,0,0,0,0,
25,7JYdWkrLSPkdwr4,137,4936.888054200758,0.0018153087149098365,0,0,0,0,
26,McdE0feGgRqW7Ca,137,6960.023884060995,0.0025592218972771445,0,0,0,0,
27,VHMLBKoKgIrUVDU,137,2976.448555176199,0.0010944491635970213,0,0,0,0,
28,WRmjgnKYAwPKWDb,137,4626.991199658469,0.001701358701339023,0,0,0,0,
29,YxYtjZvoooNbGkE,137,3196.4939995369264,0.0011753605410556101,0,0,0,0,
30,ZnxXDlPa8U1GXgE,137,4533.805400485574,0.0016670940002789176,0,0,0,0,
31,ZoEaEvLYb1n2sOq,137,3322.654974691727,0.0012217503143633441,0,0,0,0,
32,adLQvlD726eNBSB,137,2960.1191056749612,0.0010884447754756308,0,0,0,0,
33,bvBOhCH3iADSZry,137,34136.07174656392,0.01255193714218358,0,0,0,0,
34,iCRJl6heRkivqQ3,137,3103.733209140546,0.0011412521170120079,0,0,0,0,
35,ih0vzX44oOqAx2f,137,5106.516343763266,0.0018776815515950955,0,0,0,0,
36,pkci93gMrogZuBj,137,79319.11547907763,0.029165879397567165,0,0,0,1,
37,rGa61gmuvPhdLxV,137,44994.36233062319,0.01654456353149256,0,0,0,0,
38,sjndEbLyjtCKgGv,137,9049.96347517355,0.0033276990253241403,0,0,0,0,
39,uHbuxQJl8lW7ozc,137,58894.75386152249,0.021655779667987575,0,0,0,1,
