,SOURCE_KEY,DAY,ERROR,norm_error,alarm_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_inefficient_inverter_day,alarm_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,0.0011854617246782864,0.5642299411525654,0,0,0,0,
1,1IF53ai7Xc0U56Y,136,0.001082541555426235,0.5152442676115184,0,0,0,0,
2,3PZuoBAID5Wc2HD,136,0.0012529869731084935,0.5963691204739625,0,0,0,0,
3,7JYdWkrLSPkdwr4,136,0.0011042555400327292,0.5255792113736504,0,0,0,0,
4,McdE0feGgRqW7Ca,136,0.0010494684347779018,0.49950285266013744,0,0,0,0,
5,VHMLBKoKgIrUVDU,136,0.0012507363028018037,0.595297896031822,0,0,0,0,
6,WRmjgnKYAwPKWDb,136,0.001290480922220562,0.6142146639113273,0,0,0,0,
7,YxYtjZvoooNbGkE,136,0.001189065297479819,0.5659450903028255,0,0,0,0,
8,ZnxXDlPa8U1GXgE,136,0.001237114970688157,0.5888147146208084,0,0,0,0,
9,ZoEaEvLYb1n2sOq,136,0.00100178821607094,0.47680907315201254,0,0,0,0,
10,adLQvlD726eNBSB,136,0.0012733269504468783,0.6060500945431978,0,0,0,0,
11,bvBOhCH3iADSZry,136,0.0012323706021131933,0.5865565946443205,0,0,0,0,
12,iCRJl6heRkivqQ3,136,0.0009749524021409798,0.46403635396650544,0,0,0,0,
13,ih0vzX44oOqAx2f,136,0.0012239186149437288,0.5825338040944668,0,0,0,0,
14,pkci93gMrogZuBj,136,0.0009857484533069504,0.4691748204283466,0,0,0,0,
15,rGa61gmuvPhdLxV,136,0.000991423951408838,0.4718761189126216,0,0,0,0,
16,sjndEbLyjtCKgGv,136,0.0009751799414721203,0.4641446531218022,0,0,0,0,
17,uHbuxQJl8lW7ozc,136,0.0010734351182617816,0.5109099863787748,0,0,0,0,
18,wCURE6d3bPkepu2,136,0.001081804650669476,0.5148935319286317,0,0,0,0,
19,z9Y9gH1T5YWrNuG,136,0.0011901470516765475,0.5664599598207994,0,0,0,0,
20,zBIq5rxdHJRwDNY,136,0.0009777525784827187,0.4653691201787127,0,0,0,0,
21,zVJPv84UY57bAof,136,0.0011368205996126503,0.5410788106166332,0,0,0,0,
22,1BY6WEcLGh8j5v7,137,0.00032349586660743266,0.15397043192477958,0,0,0,0,
23,1IF53ai7Xc0U56Y,137,0.0003390438306845521,0.16137060914994983,0,0,0,0,
24,3PZuoBAID5Wc2HD,137,0.00035536869989308945,0.1691405605546281,0,0,0,0,
25,7JYdWkrLSPkdwr4,137,0.0003184652858576332,0.15157608698615,0,0,0,0,
26,McdE0feGgRqW7Ca,137,0.00037891875319157905,0.1803493958212012,0,0,0,0,
27,VHMLBKoKgIrUVDU,137,0.000387835193575029,0.1845932465741301,0,0,0,0,
28,WRmjgnKYAwPKWDb,137,0.0003630249332669526,0.17278460575326784,0,0,0,0,
29,YxYtjZvoooNbGkE,137,0.0003434599792340291,0.16347251019350195,0,0,0,0,
30,ZnxXDlPa8U1GXgE,137,0.0004176311526126743,0.19877487037894528,0,0,0,1,
31,ZoEaEvLYb1n2sOq,137,0.0003115776644841616,0.14829786878531379,0,0,0,0,
32,adLQvlD726eNBSB,137,0.00036866464827365746,0.17546887298864727,0,0,0,0,
33,bvBOhCH3iADSZry,137,0.0003236917958551305,0.1540636860093251,0,0,0,0,
34,iCRJl6heRkivqQ3,137,0.00033321470804567534,0.1585961918448301,0,0,0,0,
35,ih0vzX44oOqAx2f,137,0.0003599122741939921,0.17130311089855954,0,0,0,0,
36,pkci93gMrogZuBj,137,0.0003939978730733625,0.18752642292078142,0,0,0,0,
37,rGa61gmuvPhdLxV,137,0.0003640022652969069,0.17324977471002795,0,0,0,0,
38,sjndEbLyjtCKgGv,137,0.0003523670123490781,0.16771188348217725,0,0,0,0,
39,uHbuxQJl8lW7ozc,137,0.00037858917435405987,0.18019253015086584,0,0,0,0,
40,wCURE6d3bPkepu2,137,0.00038279773800319115,0.18219562950924503,0,0,0,0,
41,z9Y9gH1T5YWrNuG,137,0.00037833146106786654,0.18006986946155293,0,0,0,0,
42,zBIq5rxdHJRwDNY,137,0.00031747035627283186,0.15110254233312817,0,0,0,0,
43,zVJPv84UY57bAof,137,0.0003409369507495735,0.16227165470936816,0,0,0,0,
44,1BY6WEcLGh8j5v7,138,0.001055840265808963,0.5025355763431103,0,0,0,1,
45,1IF53ai7Xc0U56Y,138,0.000907391199855005,0.4318800621213535,0,0,0,0,
46,3PZuoBAID5Wc2HD,138,0.001025549734821088,0.4881185570830353,0,0,0,0,
47,7JYdWkrLSPkdwr4,138,0.0008026029434723248,0.38200525764521154,0,0,0,0,
48,McdE0feGgRqW7Ca,138,0.0009029308824467018,0.4297571385579701,0,0,0,0,
49,VHMLBKoKgIrUVDU,138,0.0008883836449719916,0.4228332651224818,0,0,0,0,
50,WRmjgnKYAwPKWDb,138,0.0009574943041022629,0.45572703328245373,0,0,0,0,
51,YxYtjZvoooNbGkE,138,0.0008074014753880898,0.38428915709475775,0,0,0,0,
52,ZnxXDlPa8U1GXgE,138,0.0008984217684785177,0.42761098988361357,0,0,0,0,
53,ZoEaEvLYb1n2sOq,138,0.000855499054362772,0.40718158254344156,0,0,0,0,
54,adLQvlD726eNBSB,138,0.0010072998213783524,0.4794323655565829,0,0,0,0,
55,bvBOhCH3iADSZry,138,0.0010114132679899129,0.48139019320403803,0,0,0,0,
56,iCRJl6heRkivqQ3,138,0.0008417439707556965,0.4006347410448052,0,0,0,0,
57,ih0vzX44oOqAx2f,138,0.0008674466729460005,0.41286814668110505,0,0,0,0,
58,pkci93gMrogZuBj,138,0.000902188525460069,0.42940380784288884,0,0,0,0,
59,rGa61gmuvPhdLxV,138,0.0009159090453123793,0.4359341984474042,0,0,0,0,
60,sjndEbLyjtCKgGv,138,0.0008560718283651745,0.4074541988877246,0,0,0,0,
61,uHbuxQJl8lW7ozc,138,0.0009345670483821934,0.444814623479231,0,0,0,0,
62,wCURE6d3bPkepu2,138,0.0009488638084826895,0.4516192802152926,0,0,0,0,
63,z9Y9gH1T5YWrNuG,138,0.000967699625946652,0.46058433742296934,0,0,0,0,
64,zBIq5rxdHJRwDNY,138,0.0008506122479862801,0.40485566816186985,0,0,0,0,
65,zVJPv84UY57bAof,138,0.0008986705961195248,0.4277294213793927,0,0,0,0,
66,1BY6WEcLGh8j5v7,139,0.0003480743128884293,0.16566873901479695,0,0,0,0,
67,1IF53ai7Xc0U56Y,139,0.00032566161539646023,0.15500123729482718,0,0,0,0,
68,3PZuoBAID5Wc2HD,139,0.00033420932676059674,0.15906958853685882,0,0,0,0,
69,7JYdWkrLSPkdwr4,139,0.0003337533843160098,0.15885257910220324,0,0,0,0,
70,McdE0feGgRqW7Ca,139,0.0003164944601940172,0.15063805682873954,0,0,0,0,
71,VHMLBKoKgIrUVDU,139,0.00033620183151487714,0.16001793702998196,0,0,0,0,
72,WRmjgnKYAwPKWDb,139,0.0003415131925145367,0.16254592156283665,0,0,0,0,
73,YxYtjZvoooNbGkE,139,0.0003283072379473011,0.1562604424003973,0,0,0,0,
74,ZnxXDlPa8U1GXgE,139,0.0003277186262709397,0.15598028798916547,0,0,0,0,
75,ZoEaEvLYb1n2sOq,139,0.00031429205235953894,0.14958980329429594,0,0,0,0,
76,adLQvlD726eNBSB,139,0.0003277887781606718,0.15601367733931595,0,0,0,0,
77,bvBOhCH3iADSZry,139,0.0003620588054183424,0.17232476951577555,0,0,0,1,
78,iCRJl6heRkivqQ3,139,0.00030583609572794627,0.1455651234473553,0,0,0,0,
79,ih0vzX44oOqAx2f,139,0.00031605626494766266,0.15042949431430572,0,0,0,0,
80,pkci93gMrogZuBj,139,0.0003147920613460089,0.1498277865502195,0,0,0,0,
81,rGa61gmuvPhdLxV,139,0.00030794146952959153,0.14656719286172534,0,0,0,0,
82,sjndEbLyjtCKgGv,139,0.00030523841528209516,0.1452806526831203,0,0,0,0,
83,uHbuxQJl8lW7ozc,139,0.0003285630044528661,0.15638217650397868,0,0,0,0,
84,wCURE6d3bPkepu2,139,0.00031943556861546035,0.1520379007857467,0,0,0,0,
85,z9Y9gH1T5YWrNuG,139,0.0003128719180757254,0.14891387908121997,0,0,0,0,
86,zBIq5rxdHJRwDNY,139,0.0003092421953587034,0.14718628367059525,0,0,0,0,
87,zVJPv84UY57bAof,139,0.0003067109710306333,0.14598152730947486,0,0,0,0,
88,1BY6WEcLGh8j5v7,140,0.00032609888141534526,0.15520935753605258,0,0,0,0,
89,1IF53ai7Xc0U56Y,140,0.0003072630564885746,0.14624429677639286,0,0,0,0,
90,3PZuoBAID5Wc2HD,140,0.0003569335074468244,0.1698853431617583,0,0,0,1,
91,7JYdWkrLSPkdwr4,140,0.000285164564847931,0.13572634383164925,0,0,0,0,
