,SOURCE_KEY,DAY,ERROR,norm_error,alarm_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_inefficient_inverter_day,alarm_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,0.0005160224444470331,0.4693052966217866,0,0,0,0,
1,1IF53ai7Xc0U56Y,136,0.000497127477534949,0.4521209509663629,0,0,0,0,
2,3PZuoBAID5Wc2HD,136,0.0005985868111643546,0.5443948494690171,0,0,0,1,
3,7JYdWkrLSPkdwr4,136,0.00045760727787788597,0.4161786402738792,0,0,0,0,
4,McdE0feGgRqW7Ca,136,0.00047406373091117386,0.43114523844269664,0,0,0,0,
5,VHMLBKoKgIrUVDU,136,0.0004527492367658923,0.4117604130250467,0,0,0,0,
6,WRmjgnKYAwPKWDb,136,0.0006012994157511911,0.5468618733629237,0,0,0,1,
7,YxYtjZvoooNbGkE,136,0.00044165088149978845,0.4016668270459441,0,0,0,0,
8,ZnxXDlPa8U1GXgE,136,0.00043076783892105906,0.391769060814029,0,0,0,0,
9,ZoEaEvLYb1n2sOq,136,0.00041346407893490234,0.37603186507697606,0,0,0,0,
10,adLQvlD726eNBSB,136,0.0005385711305176024,0.4898125786570088,0,0,0,0,
11,bvBOhCH3iADSZry,136,0.0005057585165593006,0.4599705946651329,0,0,0,0,
12,iCRJl6heRkivqQ3,136,0.00042886860762877374,0.3900417729517065,0,0,0,0,
13,ih0vzX44oOqAx2f,136,0.0004551796765508968,0.4139708173911692,0,0,0,0,
14,pkci93gMrogZuBj,136,0.0004798233273233817,0.436383400332243,0,0,0,0,
15,rGa61gmuvPhdLxV,136,0.00044815406066059735,0.407581252780504,0,0,0,0,
16,sjndEbLyjtCKgGv,136,0.00043613205894831795,0.3966476409962049,0,0,0,0,
17,uHbuxQJl8lW7ozc,136,0.000511583353701063,0.46526809083415666,0,0,0,0,
18,wCURE6d3bPkepu2,136,0.0004603368012014314,0.41866105119762353,0,0,0,0,
19,z9Y9gH1T5YWrNuG,136,0.0005111624627242268,0.4648853044517906,0,0,0,0,
20,zBIq5rxdHJRwDNY,136,0.0004221993885928598,0.38397633945832577,0,0,0,0,
21,zVJPv84UY57bAof,136,0.0005152215297343105,0.4685768912571211,0,0,0,0,
22,1BY6WEcLGh8j5v7,137,0.00028124475945495616,0.25578277976023045,0,0,0,0,
23,1IF53ai7Xc0U56Y,137,0.0002563253826731477,0.23311943315958256,0,0,0,0,
24,3PZuoBAID5Wc2HD,137,0.00027753622539558544,0.2524099910463015,0,0,0,0,
25,7JYdWkrLSPkdwr4,137,0.00025564087510878823,0.232496896235097,0,0,0,0,
26,McdE0feGgRqW7Ca,137,0.00024097805845955204,0.21916155086217498,0,0,0,0,
27,VHMLBKoKgIrUVDU,137,0.00028153517473490945,0.2560469028241953,0,0,0,0,
28,WRmjgnKYAwPKWDb,137,0.0002939932337002871,0.26737709421605127,0,0,0,0,
29,YxYtjZvoooNbGkE,137,0.0002445176871055226,0.22238072570525427,0,0,0,0,
30,ZnxXDlPa8U1GXgE,137,0.0002828013731761032,0.2571984683063193,0,0,0,0,
31,ZoEaEvLYb1n2sOq,137,0.00024142983409863847,0.21957242582040504,0,0,0,0,
32,adLQvlD726eNBSB,137,0.0002698743159748786,0.24544173857575774,0,0,0,0,
33,bvBOhCH3iADSZry,137,0.000278314961445192,0.2531182256525352,0,0,0,0,
34,iCRJl6heRkivqQ3,137,0.0002320702077833474,0.21106015614796134,0,0,0,0,
35,ih0vzX44oOqAx2f,137,0.00026031605182730646,0.23674881438372453,0,0,0,0,
36,pkci93gMrogZuBj,137,0.0002631920191440225,0.23936441126167102,0,0,0,0,
37,rGa61gmuvPhdLxV,137,0.0002480242924561978,0.225569866956654,0,0,0,0,
38,sjndEbLyjtCKgGv,137,0.00023006797822070757,0.20923919477523165,0,0,0,0,
39,uHbuxQJl8lW7ozc,137,0.00026254283239843853,0.23877399745026073,0,0,0,0,
40,wCURE6d3bPkepu2,137,0.00025270113288646326,0.2298232981959299,0,0,0,0,
41,z9Y9gH1T5YWrNuG,137,0.0002548657680326477,0.23179196205985664,0,0,0,0,
42,zBIq5rxdHJRwDNY,137,0.00023712929422175624,0.215661227452441,0,0,0,0,
43,zVJPv84UY57bAof,137,0.00023997498099068504,0.21824928517658893,0,0,0,0,
44,1BY6WEcLGh8j5v7,138,0.0005308229927815765,0.4827659043938986,0,0,0,0,
