,SOURCE_KEY,DAY,ERROR,norm_error,alarm_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_inefficient_inverter_day,alarm_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,0.0011094040959767038,0.422254365262555,0,0,0,0,
1,1IF53ai7Xc0U56Y,136,0.0010085289230504935,0.38385989541231763,0,0,0,0,
2,3PZuoBAID5Wc2HD,136,0.0011777313888783956,0.44826066702306194,0,0,0,0,
3,7JYdWkrLSPkdwr4,136,0.0010183028847901001,0.38757999886733924,0,0,0,0,
4,McdE0feGgRqW7Ca,136,0.0009730420055443897,0.3703530894783875,0,0,0,0,
5,VHMLBKoKgIrUVDU,136,0.001176604696884049,0.4478318326473421,0,0,0,0,
6,WRmjgnKYAwPKWDb,136,0.001227404428247943,0.46716690487247636,0,0,0,0,
7,YxYtjZvoooNbGkE,136,0.0010775952356135625,0.41014747815886293,0,0,0,0,
8,ZnxXDlPa8U1GXgE,136,0.001162879795757976,0.4426079476497126,0,0,0,0,
9,ZoEaEvLYb1n2sOq,136,0.0009322423925967297,0.35482419903111995,0,0,0,0,
10,adLQvlD726eNBSB,136,0.001188195671734251,0.4522435161321028,0,0,0,0,
11,bvBOhCH3iADSZry,136,0.0011410706731392207,0.434307097434978,0,0,0,0,
12,iCRJl6heRkivqQ3,136,0.0009012081758206942,0.3430121518666028,0,0,0,0,
13,ih0vzX44oOqAx2f,136,0.0011355771930354032,0.4322162038077305,0,0,0,0,
14,pkci93gMrogZuBj,136,0.0009068989582309163,0.34517814144892905,0,0,0,0,
15,rGa61gmuvPhdLxV,136,0.0009154087293770098,0.34841707668168553,0,0,0,0,
16,sjndEbLyjtCKgGv,136,0.0008976923363747217,0.341673975309469,0,0,0,0,
17,uHbuxQJl8lW7ozc,136,0.0009928702042930795,0.3778999729875535,0,0,0,0,
18,wCURE6d3bPkepu2,136,0.0010024537334944324,0.3815475952151691,0,0,0,0,
19,z9Y9gH1T5YWrNuG,136,0.00111307224143248,0.42365051156915023,0,0,0,0,
20,zBIq5rxdHJRwDNY,136,0.000902991793247427,0.34369102104252125,0,0,0,0,
21,zVJPv84UY57bAof,136,0.0010557381258673125,0.40182836338738603,0,0,0,0,
22,1BY6WEcLGh8j5v7,137,0.00034619629025176664,0.13176704081646065,0,0,0,0,
23,1IF53ai7Xc0U56Y,137,0.0003681178411859924,0.1401106827850375,0,0,0,0,
24,3PZuoBAID5Wc2HD,137,0.00038951699953907875,0.14825549499575888,0,0,0,0,
25,7JYdWkrLSPkdwr4,137,0.00034440119412766613,0.13108380269140218,0,0,0,0,
26,McdE0feGgRqW7Ca,137,0.00040612540640657595,0.1545768816981247,0,0,0,0,
27,VHMLBKoKgIrUVDU,137,0.00042335117599641854,0.16113324509239751,0,0,0,0,
28,WRmjgnKYAwPKWDb,137,0.0003968189590271914,0.15103472059985348,0,0,0,0,
29,YxYtjZvoooNbGkE,137,0.0003686539604988538,0.1403147371246404,0,0,0,0,
30,ZnxXDlPa8U1GXgE,137,0.0004514838919356609,0.17184094137287528,0,0,0,1,
31,ZoEaEvLYb1n2sOq,137,0.0003343816919396205,0.1272702431849941,0,0,0,0,
32,adLQvlD726eNBSB,137,0.00040235727637919475,0.1531426798967172,0,0,0,0,
33,bvBOhCH3iADSZry,137,0.0003417664800539378,0.13008099449654778,0,0,0,0,
34,iCRJl6heRkivqQ3,137,0.000356214135995651,0.13557996985757617,0,0,0,0,
35,ih0vzX44oOqAx2f,137,0.0003857694745128463,0.14682913573947345,0,0,0,0,
36,pkci93gMrogZuBj,137,0.0004070320247315858,0.15492195302673323,0,0,0,0,
37,rGa61gmuvPhdLxV,137,0.0003784856330766471,0.14405680611362362,0,0,0,0,
38,sjndEbLyjtCKgGv,137,0.0003743676648669243,0.14248945111748307,0,0,0,0,
39,uHbuxQJl8lW7ozc,137,0.0003947009392493099,0.1502285733175726,0,0,0,0,
40,wCURE6d3bPkepu2,137,0.0004093213568250081,0.1557933041182687,0,0,0,0,
41,z9Y9gH1T5YWrNuG,137,0.0004038120621482488,0.15369639124836326,0,0,0,0,
42,zBIq5rxdHJRwDNY,137,0.0003379320473867452,0.1286215570040244,0,0,0,0,
43,zVJPv84UY57bAof,137,0.00036317646905242103,0.13822992899896974,0,0,0,0,
44,1BY6WEcLGh8j5v7,138,0.000986326207424585,0.3754092383183673,0,0,0,0,
45,1IF53ai7Xc0U56Y,138,0.0008577809657755223,0.3264831620429229,0,0,0,0,
46,3PZuoBAID5Wc2HD,138,0.0009771531760293494,0.37191785716755354,0,0,0,0,
47,7JYdWkrLSPkdwr4,138,0.0007469404425636477,0.2842957436406184,0,0,0,0,
48,McdE0feGgRqW7Ca,138,0.0008506359027704194,0.323763653385147,0,0,0,0,
49,VHMLBKoKgIrUVDU,138,0.0008368839225836529,0.3185294617268279,0,0,0,0,
50,WRmjgnKYAwPKWDb,138,0.0009044707675303167,0.34425393887320715,0,0,0,0,
51,YxYtjZvoooNbGkE,138,0.0007505488825224221,0.2856691652188386,0,0,0,0,
52,ZnxXDlPa8U1GXgE,138,0.0008452374222132395,0.32170891788406036,0,0,0,0,
53,ZoEaEvLYb1n2sOq,138,0.0007961615871630409,0.303029984162793,0,0,0,0,
54,adLQvlD726eNBSB,138,0.000960303466487024,0.3655046273683709,0,0,0,0,
55,bvBOhCH3iADSZry,138,0.0009389913398332425,0.3573929406121895,0,0,0,0,
56,iCRJl6heRkivqQ3,138,0.0007822599655749932,0.2977388369414431,0,0,0,0,
57,ih0vzX44oOqAx2f,138,0.000808906777975714,0.3078809780218137,0,0,0,0,
58,pkci93gMrogZuBj,138,0.0008413771432401692,0.3202396429341828,0,0,0,0,
59,rGa61gmuvPhdLxV,138,0.0008535436314569927,0.32487037467395186,0,0,0,0,
60,sjndEbLyjtCKgGv,138,0.0007976600369250807,0.3036003146270868,0,0,0,0,
61,uHbuxQJl8lW7ozc,138,0.0008753295171298535,0.33316238058941366,0,0,0,0,
62,wCURE6d3bPkepu2,138,0.0008940895502590967,0.34030270566124343,0,0,0,0,
63,z9Y9gH1T5YWrNuG,138,0.0009120337746545752,0.34713252277632356,0,0,0,0,
64,zBIq5rxdHJRwDNY,138,0.0007928048744609977,0.3017523734197731,0,0,0,0,
65,zVJPv84UY57bAof,138,0.000840310840884772,0.3198337936806159,0,0,0,0,
66,1BY6WEcLGh8j5v7,139,0.0004170875262743434,0.15874921437968115,0,0,0,0,
67,1IF53ai7Xc0U56Y,139,0.00041481827204678095,0.15788550519837047,0,0,0,0,
68,3PZuoBAID5Wc2HD,139,0.00042398370683378205,0.16137399497623925,0,0,0,0,
69,7JYdWkrLSPkdwr4,139,0.00041569297947903423,0.15821843080495152,0,0,0,0,
70,McdE0feGgRqW7Ca,139,0.0004072879652070504,0.15501936747058126,0,0,0,0,
71,VHMLBKoKgIrUVDU,139,0.0004262056147010797,0.1622196834855751,0,0,0,0,
72,WRmjgnKYAwPKWDb,139,0.00042672490833164863,0.1624173337404786,0,0,0,0,
73,YxYtjZvoooNbGkE,139,0.0004138074885564858,0.1575007871838433,0,0,0,0,
74,ZnxXDlPa8U1GXgE,139,0.0004176704332330762,0.1589710767369227,0,0,0,0,
75,ZoEaEvLYb1n2sOq,139,0.0003989167727629663,0.15183317718627778,0,0,0,0,
76,adLQvlD726eNBSB,139,0.00041923457142210976,0.1595664091145374,0,0,0,0,
77,bvBOhCH3iADSZry,139,0.0004298102089029402,0.1635916413161397,0,0,0,0,
78,iCRJl6heRkivqQ3,139,0.0003928827829998147,0.1495365581935408,0,0,0,0,
79,ih0vzX44oOqAx2f,139,0.00039945609735931356,0.15203845150059392,0,0,0,0,
80,pkci93gMrogZuBj,139,0.00039929340040294415,0.15197652681481796,0,0,0,0,
81,rGa61gmuvPhdLxV,139,0.00039363630275060475,0.14982335811183614,0,0,0,0,
82,sjndEbLyjtCKgGv,139,0.0003906760546034567,0.1486966471983586,0,0,0,0,
83,uHbuxQJl8lW7ozc,139,0.000417278844465874,0.15882203269883186,0,0,0,0,
84,wCURE6d3bPkepu2,139,0.00040726784149396175,0.15501170811027443,0,0,0,0,
85,z9Y9gH1T5YWrNuG,139,0.00039856293728886386,0.15169850256765477,0,0,0,0,
86,zBIq5rxdHJRwDNY,139,0.0003974243079869983,0.15126512468950182,0,0,0,0,
87,zVJPv84UY57bAof,139,0.00039416081500428846,0.15002299464603938,0,0,0,0,
88,1BY6WEcLGh8j5v7,140,0.0003004171454640428,0.11434287247716435,0,0,0,0,
89,1IF53ai7Xc0U56Y,140,0.0003108794210091951,0.11832495757631022,0,0,0,0,
90,3PZuoBAID5Wc2HD,140,0.00035403762715372974,0.13475156083793516,0,0,0,1,
91,7JYdWkrLSPkdwr4,140,0.0002743717697633389,0.10442964642688263,0,0,0,0,
92,McdE0feGgRqW7Ca,140,0.0003025196013575983,0.1151430959323015,0,0,0,0,
93,VHMLBKoKgIrUVDU,140,0.00029355223418169285,0.1117299933949392,0,0,0,0,
94,WRmjgnKYAwPKWDb,140,0.0003603658652421991,0.13716017476586956,0,0,0,1,
95,YxYtjZvoooNbGkE,140,0.0002857303731540949,0.10875288615749698,0,0,0,0,
96,ZnxXDlPa8U1GXgE,140,0.00029847243334008526,0.11360268845720439,0,0,0,0,
97,ZoEaEvLYb1n2sOq,140,0.0002907095770491865,0.11064803922918609,0,0,0,0,
98,adLQvlD726eNBSB,140,0.0003230072992859581,0.12294099384506728,0,0,0,0,
99,bvBOhCH3iADSZry,140,0.00032427166363762223,0.12342222820206009,0,0,0,0,
100,iCRJl6heRkivqQ3,140,0.00028455180878247146,0.10830430844585369,0,0,0,0,
101,ih0vzX44oOqAx2f,140,0.00026901438519944714,0.10239055262265259,0,0,0,0,
102,pkci93gMrogZuBj,140,0.0002908227998728772,0.11069113338371836,0,0,0,0,
103,rGa61gmuvPhdLxV,140,0.00027895349698594206,0.10617351444323715,0,0,0,0,
104,sjndEbLyjtCKgGv,140,0.0002730417348349921,0.10392341695064145,0,0,0,0,
