,SOURCE_KEY,DAY,ERROR,norm_error,alarm_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_inefficient_inverter_day,alarm_inefficient_inverter_window
0,1BY6WEcLGh8j5v7,136,333137.7322671843,0.13646759783618492,0,0,0,0,
1,1IF53ai7Xc0U56Y,136,110236.65532413565,0.04515769331561293,0,0,0,0,
2,3PZuoBAID5Wc2HD,136,255152.69039075766,0.10452155780162424,0,0,0,0,
3,7JYdWkrLSPkdwr4,136,104668.35006383646,0.0428766750781406,0,0,0,0,
4,McdE0feGgRqW7Ca,136,173487.40799414626,0.07106793236137854,0,0,0,0,
5,VHMLBKoKgIrUVDU,136,142465.15462565713,0.05835987804446972,0,0,0,0,
6,WRmjgnKYAwPKWDb,136,299721.6140631117,0.12277891313125816,0,0,0,0,
7,YxYtjZvoooNbGkE,136,82927.58307419025,0.03397071829563566,0,0,0,0,
8,ZnxXDlPa8U1GXgE,136,156230.05542253624,0.06399857568889297,0,0,0,0,
9,ZoEaEvLYb1n2sOq,136,76647.65101982607,0.03139818699994263,0,0,0,0,
10,adLQvlD726eNBSB,136,193239.6463264538,0.0791593019542289,0,0,0,0,
11,bvBOhCH3iADSZry,136,264883.9057675051,0.10850788374991456,0,0,0,0,
12,iCRJl6heRkivqQ3,136,161211.57472839428,0.06603922106586216,0,0,0,0,
13,ih0vzX44oOqAx2f,136,203025.10672477534,0.08316784900529978,0,0,0,0,
14,pkci93gMrogZuBj,136,198896.02648428638,0.0814763994722266,0,0,0,0,
15,rGa61gmuvPhdLxV,136,176616.94329166436,0.07234992513202428,0,0,0,0,
16,sjndEbLyjtCKgGv,136,129792.48750087172,0.05316860646761323,0,0,0,0,
17,uHbuxQJl8lW7ozc,136,336418.60310704284,0.1378115841786482,0,0,0,0,
18,wCURE6d3bPkepu2,136,133630.44487960942,0.054740799507739746,0,0,0,0,
19,z9Y9gH1T5YWrNuG,136,386739.60775719583,0.15842524021387097,0,0,0,1,
20,zBIq5rxdHJRwDNY,136,111978.94548188109,0.04587141058487276,0,0,0,0,
21,zVJPv84UY57bAof,136,353293.93629446754,0.1447244492182832,0,0,0,0,
22,1BY6WEcLGh8j5v7,137,63359.590858831674,0.025954823866824964,0,0,0,0,
23,1IF53ai7Xc0U56Y,137,45588.45472616678,0.018674999265931205,0,0,0,0,
24,3PZuoBAID5Wc2HD,137,69437.98495092172,0.028444796512084806,0,0,0,0,
25,7JYdWkrLSPkdwr4,137,32639.60074100585,0.013370589627130013,0,0,0,0,
26,McdE0feGgRqW7Ca,137,34933.18442053616,0.014310140524146827,0,0,0,0,
27,VHMLBKoKgIrUVDU,137,80485.84564311239,0.03297047722567891,0,0,0,0,
28,WRmjgnKYAwPKWDb,137,93133.0912327678,0.0381513350442112,0,0,0,0,
29,YxYtjZvoooNbGkE,137,19194.758725794643,0.007863001877714272,0,0,0,0,
30,ZnxXDlPa8U1GXgE,137,87372.61828736158,0.03579159662638036,0,0,0,0,
31,ZoEaEvLYb1n2sOq,137,15979.475379396432,0.006545883004209604,0,0,0,0,
32,adLQvlD726eNBSB,137,67312.96598413824,0.02757429699892642,0,0,0,0,
33,bvBOhCH3iADSZry,137,86786.06723782896,0.03555131999306939,0,0,0,0,
34,iCRJl6heRkivqQ3,137,16175.429498381425,0.006626154271357873,0,0,0,0,
35,ih0vzX44oOqAx2f,137,44497.53781607,0.018228112600927493,0,0,0,0,
36,pkci93gMrogZuBj,137,162567.64358976833,0.06659472541762902,0,0,0,1,
37,rGa61gmuvPhdLxV,137,111948.52598016112,0.04585894944365395,0,0,0,0,
38,sjndEbLyjtCKgGv,137,25588.96185789061,0.010482343540320955,0,0,0,0,
39,uHbuxQJl8lW7ozc,137,124968.74368832906,0.05119259274441572,0,0,0,0,
40,wCURE6d3bPkepu2,137,45926.403110784,0.01881343751466234,0,0,0,0,
41,z9Y9gH1T5YWrNuG,137,60597.34302376492,0.02482328789785993,0,0,0,0,
42,zBIq5rxdHJRwDNY,137,35383.553012111035,0.014494630943214085,0,0,0,0,
43,zVJPv84UY57bAof,137,32149.38091445747,0.013169774421702985,0,0,0,0,
44,1BY6WEcLGh8j5v7,138,297306.3728801502,0.12178952606846387,0,0,0,0,
45,1IF53ai7Xc0U56Y,138,158534.45719599247,0.06494255814423609,0,0,0,0,
46,3PZuoBAID5Wc2HD,138,312651.1190080756,0.12807539656783015,0,0,0,0,
47,7JYdWkrLSPkdwr4,138,67248.54554412994,0.027547907605447477,0,0,0,0,
48,McdE0feGgRqW7Ca,138,179937.54311165222,0.07371018617998498,0,0,0,0,
49,VHMLBKoKgIrUVDU,138,98987.02886949918,0.040549360634800406,0,0,0,0,
50,WRmjgnKYAwPKWDb,138,248763.3139935896,0.10190419337803075,0,0,0,0,
51,YxYtjZvoooNbGkE,138,39040.935191662276,0.015992852585702565,0,0,0,0,
52,ZnxXDlPa8U1GXgE,138,101413.42563374179,0.04154331750531219,0,0,0,0,
53,ZoEaEvLYb1n2sOq,138,77192.51625337415,0.03162138732330655,0,0,0,0,
54,adLQvlD726eNBSB,138,272171.1175954611,0.11149304032859655,0,0,0,0,
55,bvBOhCH3iADSZry,138,268049.506386121,0.10980465043314566,0,0,0,0,
56,iCRJl6heRkivqQ3,138,112828.06432838307,0.04621924632377556,0,0,0,0,
57,ih0vzX44oOqAx2f,138,115065.64586536982,0.04713585632540178,0,0,0,0,
58,pkci93gMrogZuBj,138,204621.48651216348,0.08382179508740967,0,0,0,0,
59,rGa61gmuvPhdLxV,138,161552.93318882058,0.06617905622886937,0,0,0,0,
