SOURCE_KEY,DAY,DC_efficiency_unnorm,DC_efficiency,AC_efficiency_unnorm,AC_efficiency,alarm_negative_trend,alarm_negative_trend_temp,alarm_AC_negative_trend,alarm_DC_conversion_fall,alarm_DC_conversion_jump,alarm_AC_conversion_fall,alarm_AC_conversion_jump,alarm_inefficient_inverter_day,alarm_AC_inefficient_inverter_day
1BY6WEcLGh8j5v7,136,12654.292747944379,0.7726148507635016,0.09789364159207314,0.9993639231665815,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,136,12568.02102247551,0.7673474827939193,0.097907128867627,0.9995016103175661,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,137,13461.588435014472,0.8219047359598908,0.09789135918072095,0.9993406227813255,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,138,12746.229513564098,0.7782281008963862,0.09777049685252799,0.9981067791066844,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,138,12682.221743531773,0.7743200710541602,0.09779749067917426,0.9983823501862741,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,139,13327.495955342081,0.8137176453627161,0.09789328817409446,0.9993603152389168,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,139,13321.9461011813,0.8133787959438192,0.09788878659673139,0.9993143601192499,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,140,12703.448114869709,0.7756160589098366,0.09786926223016117,0.9991150422957873,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,140,12539.969386843995,0.7656347746474577,0.09788208927414932,0.9992459893603173,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,141,12762.982123788419,0.7792509407900234,0.09768826544446352,0.9972673057636324,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,141,12573.278135643599,0.7676684587494084,0.09771008887281754,0.9974900939511196,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,142,12546.419628877298,0.7660285977464814,0.09772685964967948,0.9976613012847801,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,142,12205.070955875823,0.7451873655020167,0.09772262709331582,0.9976180925118322,0,0,0,0,0,0,0,1,0
rGa61gmuvPhdLxV,143,12306.769229566402,0.751396609915389,0.09770965469490804,0.9974856615719382,0,0,0,1,0,0,0,1,0
1BY6WEcLGh8j5v7,144,12651.447495683376,0.7724411323112099,0.09773470759177308,0.9977414183390841,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,144,12434.639169252547,0.7592037798881082,0.09774756119518908,0.9978726365400596,0,0,0,0,0,0,0,1,0
ih0vzX44oOqAx2f,146,12279.588128821651,0.7497370527584785,0.09766214976361717,0.9970006993850944,0,0,1,1,0,0,0,1,0
1BY6WEcLGh8j5v7,148,12500.17485459847,0.7632050974458555,0.0978449830538138,0.998867184186403,0,0,0,0,0,0,1,1,0
bvBOhCH3iADSZry,148,12389.930375292606,0.7564740597163675,0.09785224712851098,0.9989413407308882,0,0,0,0,0,0,1,1,0
1BY6WEcLGh8j5v7,149,12516.35724650298,0.7641931223442308,0.09769803206532042,0.9973670099770716,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,149,12301.432718234102,0.7510707862610191,0.09771740488724485,0.9975647807311916,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,150,12750.413364033275,0.7784835482034974,0.09772876304585136,0.9976807324289765,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,150,12496.127405712425,0.7629579782129318,0.09776434164205333,0.9980439425915867,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,151,13355.580280132008,0.8154323493638455,0.09780205968682901,0.9984289936795651,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,151,13032.899516896598,0.7957308966870944,0.09781277523494364,0.9985383851786304,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,153,12217.004470201458,0.7459159728270908,0.09780631589411781,0.9984724438970131,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,153,11844.408905387849,0.7231669443007536,0.0978002396277875,0.9984104132966665,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,154,13265.654108116307,0.8099418571367765,0.09781355707477248,0.9985463667237637,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,154,12953.708650894718,0.7908958545131402,0.0978227643413453,0.9986403606736691,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,155,12952.45215526364,0.7908191384766278,0.09778802836160817,0.9982857525048384,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,155,12787.394435874141,0.7807414480222009,0.09779342421863615,0.9983408370308672,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,156,12917.012778074188,0.7886553676785459,0.09776131743677235,0.9980130694765926,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,156,12753.633026624117,0.778680126485799,0.09777839546906072,0.9981874134796361,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,157,12769.311470559718,0.7796373825618824,0.097781583254979,0.9982199565354434,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,157,12648.85693696237,0.7722829643140336,0.09776389633454187,0.9980393965939669,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,158,12414.874795748152,0.7579970551197079,0.09775123285323609,0.9979101192869542,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,158,12410.94649655453,0.7577572106372317,0.0977599244337703,0.9979988487680513,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,159,13017.566964316035,0.7947947591992226,0.09777773426005354,0.9981806634148035,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,159,12559.288359252145,0.7668143052052955,0.09777291501994224,0.9981314653808354,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,160,12346.33328850307,0.7538122154414995,0.09777497947088028,0.9981525406800588,0,0,1,0,0,0,0,1,0
z9Y9gH1T5YWrNuG,160,12491.772575112967,0.7626920916192897,0.09773592154568882,0.9977538111945142,0,0,0,1,0,0,0,1,0
1BY6WEcLGh8j5v7,161,12303.690802642166,0.7512086548549183,0.09776157088797882,0.9980156568764268,0,0,0,1,0,0,0,1,0
bvBOhCH3iADSZry,161,12133.81849132106,0.7408370068241323,0.09778827970979632,0.9982883184356517,0,0,0,0,0,0,0,1,0
1BY6WEcLGh8j5v7,162,12503.747763144871,0.763423243355576,0.09783461194260348,0.9987613089301741,0,0,0,0,0,0,1,1,0
bvBOhCH3iADSZry,162,12436.674219859731,0.7593280310297946,0.09786758222181856,0.9990978916443158,0,0,0,0,0,0,1,1,0
1BY6WEcLGh8j5v7,163,13786.413112430673,0.8417370865040955,0.09794763339084461,0.999915107645589,0,0,0,0,1,0,1,1,0
bvBOhCH3iADSZry,163,13620.426050147906,0.8316026545047169,0.09795594910199244,1.0,0,0,0,0,1,0,1,1,0
1BY6WEcLGh8j5v7,164,13637.583295866623,0.8326501996425226,0.09792065085823516,0.9996396518630989,0,0,0,0,0,0,0,1,0
bvBOhCH3iADSZry,164,13431.064264894258,0.8200410658511097,0.09792842909778454,0.9997190573471015,0,0,0,0,0,0,0,1,0
